word,category,minLevel,maxLevel,difficultyBand
YOU,common,1,999,1
THE,common,1,999,1
AND,common,1,999,1
THAT,common,1,999,2
WHAT,common,1,999,2
THIS,common,1,999,2
FOR,common,1,999,1
HAVE,common,1,999,2
YOUR,common,1,999,2
WAS,common,1,999,1
NOT,common,1,999,1
ARE,common,1,999,1
DON,common,1,999,1
KNOW,common,1,999,2
CAN,common,1,999,1
WITH,common,1,999,2
BUT,common,1,999,1
ALL,common,1,999,1
JUST,common,1,999,2
THERE,common,1,999,3
HERE,common,1,999,2
THEY,common,1,999,2
LIKE,common,1,999,2
GET,common,1,999,1
SHE,common,1,999,1
RIGHT,common,1,999,3
OUT,common,1,999,1
ABOUT,common,1,999,3
HIM,common,1,999,1
NOW,common,1,999,1
ONE,common,1,999,1
COME,common,1,999,2
WELL,common,1,999,2
HER,common,1,999,1
HOW,common,1,999,1
YEAH,common,1,999,2
WILL,common,1,999,2
GOT,common,1,999,1
WANT,common,1,999,2
THINK,common,1,999,3
SEE,common,1,999,1
DID,common,1,999,1
GOOD,common,1,999,2
WHO,common,1,999,1
FROM,common,1,999,2
LET,common,1,999,1
HIS,common,1,999,1
YES,common,1,999,1
WHEN,common,1,999,2
GOING,common,1,999,3
TIME,common,1,999,2
OKAY,common,1,999,2
BACK,common,1,999,2
LOOK,common,1,999,2
WOULD,common,1,999,3
THEM,common,1,999,2
WHERE,common,1,999,3
WERE,common,1,999,2
TAKE,common,1,999,2
THEN,common,1,999,2
HAD,common,1,999,1
BEEN,common,1,999,2
OUR,common,1,999,1
GONNA,common,1,999,3
TELL,common,1,999,2
REALLY,common,1,999,4
MAN,common,1,999,1
SOME,common,1,999,2
SAY,common,1,999,1
HEY,common,1,999,1
COULD,common,1,999,3
DIDN,common,1,999,2
NEED,common,1,999,2
SOMETHING,common,1,999,5
HAS,common,1,999,1
TOO,common,1,999,1
MORE,common,1,999,2
WAY,common,1,999,1
DOWN,common,1,999,2
MAKE,common,1,999,2
VERY,common,1,999,2
NEVER,common,1,999,3
ONLY,common,1,999,2
PEOPLE,common,1,999,4
OVER,common,1,999,2
BECAUSE,common,1,999,5
LITTLE,common,1,999,4
PLEASE,common,1,999,4
LOVE,common,1,999,2
SHOULD,common,1,999,4
MEAN,common,1,999,2
SAID,common,1,999,2
SORRY,common,1,999,3
GIVE,common,1,999,2
OFF,common,1,999,1
THANK,common,1,999,3
ANY,common,1,999,1
TWO,common,1,999,1
